entity_type,entity_id,langcode,field_name,old_path,new_path,hits_total,hits_full_url,hits_internal,hits_relative
node,7,en,body,/about-Qiwa-Platform,/blog/about-Qiwa-Platform,1,1,0,0
node,7,en,body,/company-registration-in-saudi-arabia-comprehensive-guide,/blog/company-registration-in-saudi-arabia-comprehensive-guide,1,1,0,0
node,7,en,body,/consulting-firm-saudi-arabia-investors-comprehensive-guide,/blog/consulting-firm-saudi-arabia-investors-comprehensive-guide,1,1,0,0
node,7,en,body,/ejar-platform-saudi-arabia-guide,/blog/ejar-platform-saudi-arabia-guide,1,1,0,0
node,7,en,body,/establishing-a-company-in-saudi-arabia-comprehensive-guide,/blog/establishing-a-company-in-saudi-arabia-comprehensive-guide,1,1,0,0
node,7,en,body,/freedom-of-ownership-in-saudi-arabia-investors-guide,/blog/freedom-of-ownership-in-saudi-arabia-investors-guide,1,1,0,0
node,7,en,body,/HR-Outsourcing-in-Saudi-Arabia,/blog/HR-Outsourcing-in-Saudi-Arabia,1,1,0,0
node,7,en,body,/industrial-cities-saudi-arabia-comprehensive-guide,/blog/industrial-cities-saudi-arabia-comprehensive-guide,1,1,0,0
node,7,en,body,/market-entry-strategy-in-KSA,/blog/market-entry-strategy-in-KSA,2,2,0,0
node,7,en,body,/Ministry-of-Commerce-in-Saudi-Arabia,/blog/Ministry-of-Commerce-in-Saudi-Arabia,1,1,0,0
node,7,en,body,/Ministry-of-Investment-in-Saudi-Arabia,/blog/Ministry-of-Investment-in-Saudi-Arabia,3,3,0,0
node,7,en,body,/MISA-Investment-License,/blog/MISA-Investment-License,1,1,0,0
node,7,en,body,/opening-bank-account-saudi-arabia-investors-guide-2026,/blog/opening-bank-account-saudi-arabia-investors-guide-2026,1,1,0,0
node,7,en,body,/professional-staff-saudi-arabia-management-guide,/blog/professional-staff-saudi-arabia-management-guide,1,1,0,0
node,7,en,body,/Regional-Headquarters-in-Saudi-Arabia,/blog/Regional-Headquarters-in-Saudi-Arabia,1,1,0,0
node,7,en,body,/register-license-in-saudi-arabia-comprehensive-guide,/blog/register-license-in-saudi-arabia-comprehensive-guide,3,3,0,0
node,7,en,body,/starting-a-company-in-saudi-arabia-guide,/blog/starting-a-company-in-saudi-arabia-guide,1,1,0,0
node,7,en,body,/Steps-for-Business-Setup-in-KSA,/blog/Steps-for-Business-Setup-in-KSA,2,2,0,0
node,7,en,body,/Wage-Protection-System-in-saudi-arabia,/blog/Wage-Protection-System-in-saudi-arabia,1,1,0,0
node,7,en,body,/home,/services/home,1,0,0,1
node,7,ar,body,/about-Qiwa-Platform,/blog/about-Qiwa-Platform,1,1,0,0
node,7,ar,body,/company-registration-in-saudi-arabia-comprehensive-guide,/blog/company-registration-in-saudi-arabia-comprehensive-guide,1,1,0,0
node,7,ar,body,/consulting-firm-saudi-arabia-investors-comprehensive-guide,/blog/consulting-firm-saudi-arabia-investors-comprehensive-guide,1,1,0,0
node,7,ar,body,/ejar-platform-saudi-arabia-guide,/blog/ejar-platform-saudi-arabia-guide,1,1,0,0
node,7,ar,body,/establishing-a-company-in-saudi-arabia-comprehensive-guide,/blog/establishing-a-company-in-saudi-arabia-comprehensive-guide,1,1,0,0
node,7,ar,body,/freedom-of-ownership-in-saudi-arabia-investors-guide,/blog/freedom-of-ownership-in-saudi-arabia-investors-guide,1,1,0,0
node,7,ar,body,/HR-Outsourcing-in-Saudi-Arabia,/blog/HR-Outsourcing-in-Saudi-Arabia,1,1,0,0
node,7,ar,body,/industrial-cities-saudi-arabia-comprehensive-guide,/blog/industrial-cities-saudi-arabia-comprehensive-guide,1,1,0,0
node,7,ar,body,/market-entry-strategy-in-KSA,/blog/market-entry-strategy-in-KSA,2,2,0,0
node,7,ar,body,/Ministry-of-Commerce-in-Saudi-Arabia,/blog/Ministry-of-Commerce-in-Saudi-Arabia,1,1,0,0
node,7,ar,body,/Ministry-of-Investment-in-Saudi-Arabia,/blog/Ministry-of-Investment-in-Saudi-Arabia,3,3,0,0
node,7,ar,body,/MISA-Investment-License,/blog/MISA-Investment-License,1,1,0,0
node,7,ar,body,/opening-bank-account-saudi-arabia-investors-guide-2026,/blog/opening-bank-account-saudi-arabia-investors-guide-2026,1,1,0,0
node,7,ar,body,/professional-staff-saudi-arabia-management-guide,/blog/professional-staff-saudi-arabia-management-guide,1,1,0,0
node,7,ar,body,/Regional-Headquarters-in-Saudi-Arabia,/blog/Regional-Headquarters-in-Saudi-Arabia,1,1,0,0
node,7,ar,body,/register-license-in-saudi-arabia-comprehensive-guide,/blog/register-license-in-saudi-arabia-comprehensive-guide,3,3,0,0
node,7,ar,body,/starting-a-company-in-saudi-arabia-guide,/blog/starting-a-company-in-saudi-arabia-guide,1,1,0,0
node,7,ar,body,/Steps-for-Business-Setup-in-KSA,/blog/Steps-for-Business-Setup-in-KSA,2,2,0,0
node,7,ar,body,/Wage-Protection-System-in-saudi-arabia,/blog/Wage-Protection-System-in-saudi-arabia,1,1,0,0
node,7,ar,body,/home,/services/home,1,0,0,1
node,7,zh-hans,body,/business-setup,/blog/business-setup,30,0,0,30
node,7,zh-hans,body,/vision-2030,/blog/vision-2030,1,0,0,1
node,7,zh-hans,body,/consultation-services,/services/consultation-services,1,0,0,1
node,126,en,body,/about-Qiwa-Platform,/blog/about-Qiwa-Platform,1,1,0,0
node,126,en,body,/Articles-of-Association-in-Saudi-Arabia,/blog/Articles-of-Association-in-Saudi-Arabia,1,1,0,0
node,126,en,body,/cash-flows-in-saudi-arabia-financial-guide,/blog/cash-flows-in-saudi-arabia-financial-guide,1,1,0,0
node,126,en,body,/company-registration-in-saudi-arabia-comprehensive-guide,/blog/company-registration-in-saudi-arabia-comprehensive-guide,2,2,0,0
node,126,en,body,/establishing-a-company-in-saudi-arabia-comprehensive-guide,/blog/establishing-a-company-in-saudi-arabia-comprehensive-guide,1,1,0,0
node,126,en,body,/facilitating-sovereign-financial-procedures-saudi-arabia-guide,/blog/facilitating-sovereign-financial-procedures-saudi-arabia-guide,1,1,0,0
node,126,en,body,/freedom-of-ownership-in-saudi-arabia-investors-guide,/blog/freedom-of-ownership-in-saudi-arabia-investors-guide,1,1,0,0
node,126,en,body,/Guide-to-Amending-the-MISA-Investment-License,/blog/Guide-to-Amending-the-MISA-Investment-License,1,1,0,0
node,126,en,body,/HR-Outsourcing-in-Saudi-Arabia,/blog/HR-Outsourcing-in-Saudi-Arabia,1,1,0,0
node,126,en,body,/industrial-cities-saudi-arabia-comprehensive-guide,/blog/industrial-cities-saudi-arabia-comprehensive-guide,2,2,0,0
node,126,en,body,/legal-consultant-in-saudi-arabia-investor-support-2026,/blog/legal-consultant-in-saudi-arabia-investor-support-2026,1,1,0,0
node,126,en,body,/legal-translation-services-in-saudi-arabia,/blog/legal-translation-services-in-saudi-arabia,1,1,0,0
node,126,en,body,/market-entry-strategy-in-KSA,/blog/market-entry-strategy-in-KSA,3,3,0,0
node,126,en,body,/Ministry-of-Commerce-in-Saudi-Arabia,/blog/Ministry-of-Commerce-in-Saudi-Arabia,2,2,0,0
node,126,en,body,/Ministry-of-Investment-in-Saudi-Arabia,/blog/Ministry-of-Investment-in-Saudi-Arabia,2,2,0,0
node,126,en,body,/MISA-Investment-License,/blog/MISA-Investment-License,1,1,0,0
node,126,en,body,/opening-bank-account-saudi-arabia-investors-guide-2026,/blog/opening-bank-account-saudi-arabia-investors-guide-2026,2,2,0,0
node,126,en,body,/PRO-services-in-Saudi-Arabia,/blog/PRO-services-in-Saudi-Arabia,1,1,0,0
node,126,en,body,/professional-staff-saudi-arabia-management-guide,/blog/professional-staff-saudi-arabia-management-guide,1,1,0,0
node,126,en,body,/starting-a-company-in-saudi-arabia-guide,/blog/starting-a-company-in-saudi-arabia-guide,1,1,0,0
node,126,en,body,/Steps-for-Business-Setup-in-KSA,/blog/Steps-for-Business-Setup-in-KSA,3,3,0,0
node,126,en,body,/tax-system-saudi-arabia-wht-vat-cit-guide,/blog/tax-system-saudi-arabia-wht-vat-cit-guide,2,2,0,0
node,126,en,body,/The-Comprehensive-Guide-to-Saudi-Business-Center,/blog/The-Comprehensive-Guide-to-Saudi-Business-Center,1,1,0,0
node,126,en,body,/Wage-Protection-System-in-saudi-arabia,/blog/Wage-Protection-System-in-saudi-arabia,1,1,0,0
node,126,en,body,/ZATCA,/blog/ZATCA,2,2,0,0
node,126,en,body,/home,/services/home,1,0,0,1
node,126,ar,body,/business-setup,/blog/business-setup,9,9,0,0
node,126,ar,body,/free-zones-ksa,/services/free-zones-ksa,7,7,0,0
node,126,zh-hans,body,/business-setup,/blog/business-setup,9,0,0,9
node,126,zh-hans,body,/free-zones-ksa,/services/free-zones-ksa,7,0,0,7
node,137,en,body,/Register-Your-Company-in-Saudi-Arabia,/blog/Register-Your-Company-in-Saudi-Arabia,9,9,0,0
node,138,en,body,/Register-Your-Company-in-Saudi-Arabia,/blog/Register-Your-Company-in-Saudi-Arabia,1,1,0,0
