_row_note,status,langcode,title,path_alias,body_summary,body,field_event_start,field_event_end,field_event_type_name,field_region_name,field_city_name,field_country_name,field_event_format,field_event_status,field_price_range,field_attendance_type,field_cta_type,field_cta_text,field_official_website,field_featured,field_category_name,field_location,field_meeting_enabled,field_cta_link_uri,field_cta_link_title,field_secondary_cta_uri,field_secondary_cta_title,field_organizer_names,field_hero_image_mid,field_featured_image_mid,field_partner_logos_mids,field_gallery_mids,field_tags_names,field_agenda_json,field_why_attend_json,field_what_we_offer_json,field_who_should_attend_json,field_meta_serialized
,,en,"Future Investment Initiative 2026",,,"The Future Investment Initiative (FII) is one of the world’s leading investment conferences, hosted annually in Riyadh. Organized by the Public Investment Fund (PIF), it gathers global leaders, investors, and policymakers to discuss future economic trends, innovation, and sustainable development. The event focuses on AI, ESG investments, infrastructure, and global capital flows.",2026-10-20T09:00:00,2026-10-22T18:00:00,Conference,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,Register Now,https://www.futureinvestmentinitiative.com,1,,,,,,,,,,,,,,,,,
,,en,"LEAP 2026",,,"LEAP is the largest tech event in the Middle East, hosted in Riyadh. Organized by Tahaluf and supported by the Ministry of Communications and Information Technology, the event focuses on AI, cloud, fintech, and digital transformation. It attracts startups, global tech companies, and investors.",2026-02-10T09:00:00,2026-02-13T18:00:00,Exhibition,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,Get Tickets,https://www.onegiantleap.com,1,,,,,,,,,,,,,,,,,
,,en,"Black Hat MEA 2026",,,"Black Hat Middle East and Africa is the region’s largest cybersecurity event, bringing together security professionals, ethical hackers, and government leaders. The event includes training sessions, live demonstrations, and security briefings.",2026-11-15T09:00:00,2026-11-18T18:00:00,Conference,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,Register,https://blackhatmea.com,1,,,,,,,,,,,,,,,,,
,,en,"Saudi Infrastructure Expo",,,"Saudi Infrastructure Expo showcases the Kingdom’s large-scale infrastructure projects aligned with Vision 2030. It connects contractors, investors, and suppliers across transport, utilities, and construction sectors.",2026-09-24T09:00:00,2026-09-26T18:00:00,Exhibition,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,View Event,https://www.saudiexpo.com,0,,,,,,,,,,,,,,,,,
,,en,"Cityscape Global Riyadh",,,"Cityscape Global is a major real estate and urban development exhibition focusing on Saudi Arabia’s mega projects, including NEOM and Red Sea developments.",2026-11-10T09:00:00,2026-11-13T18:00:00,Exhibition,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,Register,https://www.cityscapeglobal.com,0,,,,,,,,,,,,,,,,,
,,en,"Saudi Manufacturing Show",,,"This event highlights Saudi Arabia’s industrial sector and manufacturing capabilities, supporting the 'Made in Saudi' initiative.",2026-05-12T09:00:00,2026-05-15T18:00:00,Exhibition,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,Attend,https://www.saudimfg.com,0,,,,,,,,,,,,,,,,,
,,en,"Global Health Exhibition KSA",,,"A leading healthcare event connecting hospitals, providers, and investors across the Kingdom.",2026-10-15T09:00:00,2026-10-18T18:00:00,Conference,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Paid,Public,Register,Register,https://www.globalhealthexhibition.com,0,,,,,,,,,,,,,,,,,
,,en,"Saudi Tourism Forum",,,"A platform for discussing tourism development, investments, and mega projects across Saudi Arabia.",2026-03-05T09:00:00,2026-03-07T18:00:00,Forum,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Free,Public,Register,Join Event,https://www.sauditourism.sa,0,,,,,,,,,,,,,,,,,
,,en,"MISA Investment Forum",,,"Organized by the Ministry of Investment, this forum focuses on attracting foreign investors and promoting Saudi Arabia as a business destination.",2026-06-18T09:00:00,2026-06-19T18:00:00,Forum,Saudi Arabia,Riyadh,Saudi Arabia,In-person,Upcoming,Free,Public,Register,Register,https://misa.gov.sa,0,,,,,,,,,,,,,,,,,
,,en,"GITEX Global Dubai",,,"GITEX is one of the largest global technology exhibitions, attracting companies, startups, and governments.",2026-10-14T09:00:00,2026-10-18T18:00:00,Exhibition,GCC,Dubai,United Arab Emirates,In-person,Upcoming,Paid,Public,Register,Register,https://www.gitex.com,0,,,,,,,,,,,,,,,,,
